Province,Organization,CC&M,Education,FSA,Health,Livelihoods,Nutrition,Protection,SS&R,WASH,Telecomms,Other,Shape_Length,Shape_Area,admin0Name_en,admin1Pcode,Shape *,OBJECTID *
Province 4,Girls Kick ,,X,,,,,X,,,,,10.782247,2.023808,Nepal,NP04,Polygon,4
Province 4,Humanity & Inclusion,,X,,,,,,,,,,10.782247,2.023808,Nepal,NP04,Polygon,4
Province 4,Youth Innovation Lab,,X,,,X,,,,,X,X,10.782247,2.023808,Nepal,NP04,Polygon,4
Province 4,Disaster Preparedness Network Nepal,,,,,,,,,,,X,10.782247,2.023808,Nepal,NP04,Polygon,4
Province 4,Yuwalaya,,,,X,X,,X,,X,,,10.782247,2.023808,Nepal,NP04,Polygon,4
Province 4,Plan International Nepal ,,,,,X,,X,,,,,10.782247,2.023808,Nepal,NP04,Polygon,4
Province 4,Nepal Red Cross Society,X,,,,X,,,X,,,,10.782247,2.023808,Nepal,NP04,Polygon,4
Province 4,Blind Youth Association Nepal,,X,,X,X,,,,,,,10.782247,2.023808,Nepal,NP04,Polygon,4
Province 4,The Lutheran World Federation Nepal,,,X,,X,,X,,X,,,10.782247,2.023808,Nepal,NP04,Polygon,4
Province 4,Save the Children,,,X,X,X,,X,,X,,,10.782247,2.023808,Nepal,NP04,Polygon,4
Province 4,VSO Nepal,,,,,,,,,X,,,10.782247,2.023808,Nepal,NP04,Polygon,4
Province 5,Mercy Corps,,,X,,X,X,X,,X,,,12.623231,1.767981,Nepal,NP05,Polygon,5
Province 5,Girls Kick ,,X,,,,,X,,,,,12.623231,1.767981,Nepal,NP05,Polygon,5
Province 5,Humanity & Inclusion,,X,,X,,,,,,,,12.623231,1.767981,Nepal,NP05,Polygon,5
Province 5,Actionaid,,,X,,X,,X,,,,,12.623231,1.767981,Nepal,NP05,Polygon,5
Province 5,Youth Innovation Lab,,X,,,X,,,,,X,X,12.623231,1.767981,Nepal,NP05,Polygon,5
Province 5,Disaster Preparedness Network Nepal,,,,,,,,,,,X,12.623231,1.767981,Nepal,NP05,Polygon,5
Province 5,Nepal Youth Foundation,,,,,X,,,,,,,12.623231,1.767981,Nepal,NP05,Polygon,5
Province 5,Yuwalaya,,,,,,,X,,,,,12.623231,1.767981,Nepal,NP05,Polygon,5
Province 5,Plan International Nepal ,,,,X,X,,X,,X,,,12.623231,1.767981,Nepal,NP05,Polygon,5
Province 5,Nepal Red Cross Society,,,,X,,,X,X,X,,,12.623231,1.767981,Nepal,NP05,Polygon,5
Province 5,Blind Youth Association Nepal,,X,,X,X,,,,,,,12.623231,1.767981,Nepal,NP05,Polygon,5
Province 5,World Vision International Nepal,,X,X,X,,,X,X,,,,12.623231,1.767981,Nepal,NP05,Polygon,5
Province 5,Save the Children,,,X,X,X,X,X,,X,,,12.623231,1.767981,Nepal,NP05,Polygon,5
Province 5,VSO Nepal,,,,,X,,X,,,,,12.623231,1.767981,Nepal,NP05,Polygon,5
Province 6,Mercy Corps,,,X,,X,X,X,,X,,,13.982,2.851475,Nepal,NP06,Polygon,6
Province 6,Girls Kick ,,X,,,,,X,,,,,13.982,2.851475,Nepal,NP06,Polygon,6
